Computer - GOG || Deus Ex GOTY Edition (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Deus Ex GOTY Edition (USA)/Deus Ex GOTY Edition (USA).json
Computer - GOG || Diablo + Hellfire (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Diablo + Hellfire (USA)/Diablo + Hellfire (USA).json
Computer - GOG || Dig, The (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Dig, The (USA)/Dig, The (USA).json
Computer - GOG || Dink Smallwood HD (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Dink Smallwood HD (USA)/Dink Smallwood HD (USA).json
Computer - GOG || Divine Divinity (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Divine Divinity (USA)/Divine Divinity (USA).json
Computer - GOG || Doom 3 (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Doom 3 (USA)/Doom 3 (USA).json
Computer - GOG || Doom 3 - BFG Edition (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Doom 3 - BFG Edition (USA)/Doom 3 - BFG Edition (USA).json
Computer - GOG || Doom I Enhanced (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Doom I Enhanced (USA)/Doom I Enhanced (USA).json
Computer - GOG || Doom II + Master Levels (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Doom II + Master Levels (USA)/Doom II + Master Levels (USA).json
Computer - GOG || Doom II Enhanced (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Doom II Enhanced (USA)/Doom II Enhanced (USA).json
Computer - GOG || Doomdark's Revenge (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Doomdark's Revenge (USA)/Doomdark's Revenge (USA).json
Computer - GOG || Downfall (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Downfall (USA)/Downfall (USA).json
Computer - GOG || Downfall Redux (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Downfall Redux (USA)/Downfall Redux (USA).json
Computer - GOG || Dracula - The Resurrection (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Dracula - The Resurrection (USA)/Dracula - The Resurrection (USA).json
Computer - GOG || Dracula 2 - The Last Sanctuary (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Dracula 2 - The Last Sanctuary (USA)/Dracula 2 - The Last Sanctuary (USA).json
Computer - GOG || Dracula 3 - The Path of the Dragon (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Dracula 3 - The Path of the Dragon (USA)/Dracula 3 - The Path of the Dragon (USA).json
Computer - GOG || Dracula 4 - Shadow of the Dragon (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Dracula 4 - Shadow of the Dragon (USA)/Dracula 4 - Shadow of the Dragon (USA).json
Computer - GOG || Dracula 5 - The Blood Legacy (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Dracula 5 - The Blood Legacy (USA)/Dracula 5 - The Blood Legacy (USA).json
Computer - GOG || Dragon Wars (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Dragon Wars (USA)/Dragon Wars (USA).json
Computer - GOG || Dragonlance - Krynn I - Champions of Krynn (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Dragonlance - Krynn I - Champions of Krynn (USA)/Dragonlance - Krynn I - Champions of Krynn (USA).json
Computer - GOG || Dragonlance - Krynn II - Death Knights of Krynn (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Dragonlance - Krynn II - Death Knights of Krynn (USA)/Dragonlance - Krynn II - Death Knights of Krynn (USA).json
Computer - GOG || Dragonlance - Krynn III - Dark Queen of Krynn, The (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Dragonlance - Krynn III - Dark Queen of Krynn, The (USA)/Dragonlance - Krynn III - Dark Queen of Krynn, The (USA).json
Computer - GOG || Dragonsphere (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Dragonsphere (USA)/Dragonsphere (USA).json
Computer - GOG || Duke Nukem 3D Atomic Edition (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Duke Nukem 3D Atomic Edition (USA)/Duke Nukem 3D Atomic Edition (USA).json
Computer - GOG || Dungeon Keeper 2 (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Dungeon Keeper 2 (USA)/Dungeon Keeper 2 (USA).json
Computer - GOG || Dungeon Keeper Gold (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Dungeon Keeper Gold (USA)/Dungeon Keeper Gold (USA).json
Computer - GOG || Dying Light - The Following - Enhanced Edition (USA) || $ROM_JSON_ROOT/Computer/GOG/D/Dying Light - The Following - Enhanced Edition (USA)/Dying Light - The Following - Enhanced Edition (USA).json
Computer - GOG || Earth 2140 Trilogy (USA) || $ROM_JSON_ROOT/Computer/GOG/E/Earth 2140 Trilogy (USA)/Earth 2140 Trilogy (USA).json
Computer - GOG || Earth 2150 - Escape from the Blue Planet (USA) || $ROM_JSON_ROOT/Computer/GOG/E/Earth 2150 - Escape from the Blue Planet (USA)/Earth 2150 - Escape from the Blue Planet (USA).json
Computer - GOG || Earth 2150 - Lost Souls (USA) || $ROM_JSON_ROOT/Computer/GOG/E/Earth 2150 - Lost Souls (USA)/Earth 2150 - Lost Souls (USA).json
Computer - GOG || Earth 2150 - The Moon Project (USA) || $ROM_JSON_ROOT/Computer/GOG/E/Earth 2150 - The Moon Project (USA)/Earth 2150 - The Moon Project (USA).json
Computer - GOG || Earth 2160 (USA) || $ROM_JSON_ROOT/Computer/GOG/E/Earth 2160 (USA)/Earth 2160 (USA).json
Computer - GOG || Elder Scrolls I, The - Arena (USA) || $ROM_JSON_ROOT/Computer/GOG/E/Elder Scrolls I, The - Arena (USA)/Elder Scrolls I, The - Arena (USA).json
Computer - GOG || Elder Scrolls II, The - Daggerfall (USA) || $ROM_JSON_ROOT/Computer/GOG/E/Elder Scrolls II, The - Daggerfall (USA)/Elder Scrolls II, The - Daggerfall (USA).json
Computer - GOG || Elder Scrolls II, The - Daggerfall Unity - GOG Cut (USA) || $ROM_JSON_ROOT/Computer/GOG/E/Elder Scrolls II, The - Daggerfall Unity - GOG Cut (USA)/Elder Scrolls II, The - Daggerfall Unity - GOG Cut (USA).json
Computer - GOG || Elder Scrolls III, The - Morrowind GOTY Edition (USA) || $ROM_JSON_ROOT/Computer/GOG/E/Elder Scrolls III, The - Morrowind GOTY Edition (USA)/Elder Scrolls III, The - Morrowind GOTY Edition (USA).json
Computer - GOG || Elder Scrolls IV, The - Oblivion - GOTY Edition Deluxe (USA) || $ROM_JSON_ROOT/Computer/GOG/E/Elder Scrolls IV, The - Oblivion - GOTY Edition Deluxe (USA)/Elder Scrolls IV, The - Oblivion - GOTY Edition Deluxe (USA).json
Computer - GOG || Elder Scrolls V, The - Skyrim Special Edition (USA) || $ROM_JSON_ROOT/Computer/GOG/E/Elder Scrolls V, The - Skyrim Special Edition (USA)/Elder Scrolls V, The - Skyrim Special Edition (USA).json
Computer - GOG || Escape Goat (USA) || $ROM_JSON_ROOT/Computer/GOG/E/Escape Goat (USA)/Escape Goat (USA).json
Computer - GOG || Escape Goat 2 (USA) || $ROM_JSON_ROOT/Computer/GOG/E/Escape Goat 2 (USA)/Escape Goat 2 (USA).json
Computer - GOG || Eschalon - Book I (USA) || $ROM_JSON_ROOT/Computer/GOG/E/Eschalon - Book I (USA)/Eschalon - Book I (USA).json
Computer - GOG || Eschalon - Book II (USA) || $ROM_JSON_ROOT/Computer/GOG/E/Eschalon - Book II (USA)/Eschalon - Book II (USA).json
Computer - GOG || Everspace (USA) || $ROM_JSON_ROOT/Computer/GOG/E/Everspace (USA)/Everspace (USA).json
Computer - GOG || Evil Within 2, The (USA) || $ROM_JSON_ROOT/Computer/GOG/E/Evil Within 2, The (USA)/Evil Within 2, The (USA).json
Computer - GOG || Evil Within, The (USA) || $ROM_JSON_ROOT/Computer/GOG/E/Evil Within, The (USA)/Evil Within, The (USA).json
Computer - GOG || F.E.A.R. 2 - Project Origin + Reborn (USA) || $ROM_JSON_ROOT/Computer/GOG/F/F.E.A.R. 2 - Project Origin + Reborn (USA)/F.E.A.R. 2 - Project Origin + Reborn (USA).json
Computer - GOG || F.E.A.R. Platinum (USA) || $ROM_JSON_ROOT/Computer/GOG/F/F.E.A.R. Platinum (USA)/F.E.A.R. Platinum (USA).json
Computer - GOG || FTL - Advanced Edition (USA) || $ROM_JSON_ROOT/Computer/GOG/F/FTL - Advanced Edition (USA)/FTL - Advanced Edition (USA).json
Computer - GOG || Fallout (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Fallout (USA)/Fallout (USA).json
Computer - GOG || Fallout - New Vegas Ultimate Edition (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Fallout - New Vegas Ultimate Edition (USA)/Fallout - New Vegas Ultimate Edition (USA).json
Computer - GOG || Fallout 2 (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Fallout 2 (USA)/Fallout 2 (USA).json
Computer - GOG || Fallout 3 - Game of the Year Edition (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Fallout 3 - Game of the Year Edition (USA)/Fallout 3 - Game of the Year Edition (USA).json
Computer - GOG || Fallout 4 - Game of the Year Edition (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Fallout 4 - Game of the Year Edition (USA)/Fallout 4 - Game of the Year Edition (USA).json
Computer - GOG || Fallout Tactics (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Fallout Tactics (USA)/Fallout Tactics (USA).json
Computer - GOG || Fantasy General (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Fantasy General (USA)/Fantasy General (USA).json
Computer - GOG || Fiendish Freddy's Big Top o' Fun (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Fiendish Freddy's Big Top o' Fun (USA)/Fiendish Freddy's Big Top o' Fun (USA).json
Computer - GOG || Final Doom (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Final Doom (USA)/Final Doom (USA).json
Computer - GOG || Final Liberation - Warhammer Epic 40,000 (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Final Liberation - Warhammer Epic 40,000 (USA)/Final Liberation - Warhammer Epic 40,000 (USA).json
Computer - GOG || Firewatch (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Firewatch (USA)/Firewatch (USA).json
Computer - GOG || Flashback (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Flashback (USA)/Flashback (USA).json
Computer - GOG || Flight of the Amazon Queen (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Flight of the Amazon Queen (USA)/Flight of the Amazon Queen (USA).json
Computer - GOG || Forgotten Realms - Dungeon Hack (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Forgotten Realms - Dungeon Hack (USA)/Forgotten Realms - Dungeon Hack (USA).json
Computer - GOG || Forgotten Realms - Eye of the Beholder (USA) || $ROM_JSON_ROOT/Computer/GOG/F/Forgotten Realms - Eye of the Beholder (USA)/Forgotten Realms - Eye of the Beholder (USA).json
