Sony PlayStation Portable || 3rd Birthday, The (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/3rd Birthday, The (USA)/3rd Birthday, The (USA).json
Sony PlayStation Portable || LEGO Indiana Jones - The Original Adventures (USA) (En,Fr,Es) (v1.01) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/LEGO Indiana Jones - The Original Adventures (USA) (En,Fr,Es) (v1.01)/LEGO Indiana Jones - The Original Adventures (USA) (En,Fr,Es) (v1.01).json
Sony PlayStation Portable || LEGO Indiana Jones 2 - The Adventure Continues (USA) (En,Fr,Es) (v1.01) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/LEGO Indiana Jones 2 - The Adventure Continues (USA) (En,Fr,Es) (v1.01)/LEGO Indiana Jones 2 - The Adventure Continues (USA) (En,Fr,Es) (v1.01).json
Sony PlayStation Portable || Legend of Heroes II, The - Prophecy of the Moonlight Witch (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Legend of Heroes II, The - Prophecy of the Moonlight Witch (USA)/Legend of Heroes II, The - Prophecy of the Moonlight Witch (USA).json
Sony PlayStation Portable || Legend of Heroes III, The - Song of the Ocean (USA) (v1.01) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Legend of Heroes III, The - Song of the Ocean (USA) (v1.01)/Legend of Heroes III, The - Song of the Ocean (USA) (v1.01).json
Sony PlayStation Portable || Legend of Heroes, The - A Tear of Vermillion (USA) (v1.01) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Legend of Heroes, The - A Tear of Vermillion (USA) (v1.01)/Legend of Heroes, The - A Tear of Vermillion (USA) (v1.01).json
Sony PlayStation Portable || Lemmings (USA) (v1.01) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Lemmings (USA) (v1.01)/Lemmings (USA) (v1.01).json
Sony PlayStation Portable || LittleBigPlanet (USA) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Pl) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/LittleBigPlanet (USA) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Pl)/LittleBigPlanet (USA) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Pl).json
Sony PlayStation Portable || LocoRoco (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/LocoRoco (USA)/LocoRoco (USA).json
Sony PlayStation Portable || LocoRoco 2 (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/LocoRoco 2 (USA)/LocoRoco 2 (USA).json
Sony PlayStation Portable || Lord of Arcana (USA) (En,Fr) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Lord of Arcana (USA) (En,Fr)/Lord of Arcana (USA) (En,Fr).json
Sony PlayStation Portable || Lumines (USA) (v1.01) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Lumines (USA) (v1.01)/Lumines (USA) (v1.01).json
Sony PlayStation Portable || Lunar - Silver Star Harmony (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Lunar - Silver Star Harmony (USA)/Lunar - Silver Star Harmony (USA).json
Sony PlayStation Portable || Luxor - Pharaoh's Challenge (USA) (v1.01) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Luxor - Pharaoh's Challenge (USA) (v1.01)/Luxor - Pharaoh's Challenge (USA) (v1.01).json
Sony PlayStation Portable || Marvel - Ultimate Alliance (USA) (v2.00) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Marvel - Ultimate Alliance (USA) (v2.00)/Marvel - Ultimate Alliance (USA) (v2.00).json
Sony PlayStation Portable || Me & My Katamari (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Me & My Katamari (USA)/Me & My Katamari (USA).json
Sony PlayStation Portable || MediEvil - Resurrection (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/MediEvil - Resurrection (USA)/MediEvil - Resurrection (USA).json
Sony PlayStation Portable || Mega Man - Maverick Hunter X (USA) (v1.01) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Mega Man - Maverick Hunter X (USA) (v1.01)/Mega Man - Maverick Hunter X (USA) (v1.01).json
Sony PlayStation Portable || Mega Man - Powered Up (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Mega Man - Powered Up (USA)/Mega Man - Powered Up (USA).json
Sony PlayStation Portable || Metal Slug Anthology (USA) (v1.03) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Metal Slug Anthology (USA) (v1.03)/Metal Slug Anthology (USA) (v1.03).json
Sony PlayStation Portable || Metal Slug XX (USA) (v1.01) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Metal Slug XX (USA) (v1.01)/Metal Slug XX (USA) (v1.01).json
Sony PlayStation Portable || Midway Arcade Treasures - Extended Play (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Midway Arcade Treasures - Extended Play (USA)/Midway Arcade Treasures - Extended Play (USA).json
Sony PlayStation Portable || Mimana - IYAR Chronicle (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Mimana - IYAR Chronicle (USA)/Mimana - IYAR Chronicle (USA).json
Sony PlayStation Portable || ModNation Racers (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/ModNation Racers (USA)/ModNation Racers (USA).json
Sony PlayStation Portable || Monster Hunter Freedom Unite (USA) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Monster Hunter Freedom Unite (USA) (En,Fr,De,Es,It)/Monster Hunter Freedom Unite (USA) (En,Fr,De,Es,It).json
Sony PlayStation Portable || Namco Museum - Battle Collection (USA) (v1.01) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Namco Museum - Battle Collection (USA) (v1.01)/Namco Museum - Battle Collection (USA) (v1.01).json
Sony PlayStation Portable || PQ - Practical Intelligence Quotient (USA) (v1.01) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/PQ - Practical Intelligence Quotient (USA) (v1.01)/PQ - Practical Intelligence Quotient (USA) (v1.01).json
Sony PlayStation Portable || PQ2 - Practical Intelligence Quotient 2 (USA) (v1.01) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/PQ2 - Practical Intelligence Quotient 2 (USA) (v1.01)/PQ2 - Practical Intelligence Quotient 2 (USA) (v1.01).json
Sony PlayStation Portable || Phantasy Star Portable (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Phantasy Star Portable (USA)/Phantasy Star Portable (USA).json
Sony PlayStation Portable || Phantasy Star Portable 2 Infinity (Japan) (v1.02) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Phantasy Star Portable 2 Infinity (Japan) (v1.02)/Phantasy Star Portable 2 Infinity (Japan) (v1.02).json
Sony PlayStation Portable || Power Stone Collection (Europe) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Power Stone Collection (Europe)/Power Stone Collection (Europe).json
Sony PlayStation Portable || Prinny - Can I Really Be the Hero (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Prinny - Can I Really Be the Hero (USA)/Prinny - Can I Really Be the Hero (USA).json
Sony PlayStation Portable || Prinny 2 - Dawn of Operation Panties, Dood! (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Prinny 2 - Dawn of Operation Panties, Dood! (USA)/Prinny 2 - Dawn of Operation Panties, Dood! (USA).json
Sony PlayStation Portable || Pursuit Force (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Pursuit Force (USA)/Pursuit Force (USA).json
Sony PlayStation Portable || Puzzle Quest - Challenge of the Warlords (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Puzzle Quest - Challenge of the Warlords (USA)/Puzzle Quest - Challenge of the Warlords (USA).json
Sony PlayStation Portable || Ragnarok Tactics (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Ragnarok Tactics (USA)/Ragnarok Tactics (USA).json
Sony PlayStation Portable || Rengoku - The Tower of Purgatory (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Rengoku - The Tower of Purgatory (USA)/Rengoku - The Tower of Purgatory (USA).json
Sony PlayStation Portable || Resistance - Retribution (USA) (En,Ja,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Resistance - Retribution (USA) (En,Ja,Fr,Es)/Resistance - Retribution (USA) (En,Ja,Fr,Es).json
Sony PlayStation Portable || Riviera - The Promised Land (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/Riviera - The Promised Land (USA)/Riviera - The Promised Land (USA).json
Sony PlayStation Portable || SNK Arcade Classics Vol. 1 (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Portable/SNK Arcade Classics Vol. 1 (USA)/SNK Arcade Classics Vol. 1 (USA).json
