Sony PlayStation Vita || Rainbow Moon (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Rainbow Moon (USA)/Rainbow Moon (USA).json
Sony PlayStation Vita || Ray Gigant (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Ray Gigant (USA)/Ray Gigant (USA).json
Sony PlayStation Vita || Resistance - Burning Skies (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Resistance - Burning Skies (USA)/Resistance - Burning Skies (USA).json
Sony PlayStation Vita || Revenant Saga (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Revenant Saga (USA)/Revenant Saga (USA).json
Sony PlayStation Vita || Risk of Rain (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Risk of Rain (USA)/Risk of Rain (USA).json
Sony PlayStation Vita || Rock Boshers DX - Directors Cut (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Rock Boshers DX - Directors Cut (USA)/Rock Boshers DX - Directors Cut (USA).json
Sony PlayStation Vita || Rocketbirds - Hardboiled Chicken (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Rocketbirds - Hardboiled Chicken (USA)/Rocketbirds - Hardboiled Chicken (USA).json
Sony PlayStation Vita || Sayonara Umihara Kawase++ (Europe) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Sayonara Umihara Kawase++ (Europe)/Sayonara Umihara Kawase++ (Europe).json
Sony PlayStation Vita || Senran Kagura - Bon Appetit! Full Course (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Senran Kagura - Bon Appetit! Full Course (USA)/Senran Kagura - Bon Appetit! Full Course (USA).json
Sony PlayStation Vita || Silent Hill - Book of Memories (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Silent Hill - Book of Memories (USA)/Silent Hill - Book of Memories (USA).json
Sony PlayStation Vita || Siralim (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Siralim (USA)/Siralim (USA).json
Sony PlayStation Vita || Siralim 2 (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Siralim 2 (USA)/Siralim 2 (USA).json
Sony PlayStation Vita || Skullgirls - 2nd Encore (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Skullgirls - 2nd Encore (USA)/Skullgirls - 2nd Encore (USA).json
Sony PlayStation Vita || Sky Force Anniversary (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Sky Force Anniversary (USA)/Sky Force Anniversary (USA).json
Sony PlayStation Vita || Soul Sacrifice (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Soul Sacrifice (USA)/Soul Sacrifice (USA).json
Sony PlayStation Vita || Spelunky (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Spelunky (USA)/Spelunky (USA).json
Sony PlayStation Vita || Stealth Inc - A Clone in the Dark Ultimate Edition (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Stealth Inc - A Clone in the Dark Ultimate Edition (USA)/Stealth Inc - A Clone in the Dark Ultimate Edition (USA).json
Sony PlayStation Vita || Steins;Gate (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Steins;Gate (USA)/Steins;Gate (USA).json
Sony PlayStation Vita || Stranger of Sword City (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Stranger of Sword City (USA)/Stranger of Sword City (USA).json
Sony PlayStation Vita || Super Hydorah (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Super Hydorah (USA)/Super Hydorah (USA).json
Sony PlayStation Vita || Super Mutant Alien Assault (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Super Mutant Alien Assault (USA)/Super Mutant Alien Assault (USA).json
Sony PlayStation Vita || Swapper, The (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Swapper, The (USA)/Swapper, The (USA).json
Sony PlayStation Vita || Swindle, The (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Swindle, The (USA)/Swindle, The (USA).json
Sony PlayStation Vita || Sword Art Online - Hollow Fragment (Asia) (En,Zh-Hans) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Sword Art Online - Hollow Fragment (Asia) (En,Zh-Hans)/Sword Art Online - Hollow Fragment (Asia) (En,Zh-Hans).json
Sony PlayStation Vita || Sword Art Online - Lost Song (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Sword Art Online - Lost Song (USA)/Sword Art Online - Lost Song (USA).json
Sony PlayStation Vita || Tales From Space - Mutant Blobs Attack!!! (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Tales From Space - Mutant Blobs Attack!!! (USA)/Tales From Space - Mutant Blobs Attack!!! (USA).json
Sony PlayStation Vita || Tales of Hearts R (USA) (En,Ja,Fr,De,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Tales of Hearts R (USA) (En,Ja,Fr,De,Es,It)/Tales of Hearts R (USA) (En,Ja,Fr,De,Es,It).json
Sony PlayStation Vita || Tearaway (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Tearaway (USA)/Tearaway (USA).json
Sony PlayStation Vita || Teslagrad (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Teslagrad (USA)/Teslagrad (USA).json
Sony PlayStation Vita || Thomas Was Alone (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Thomas Was Alone (USA)/Thomas Was Alone (USA).json
Sony PlayStation Vita || Uncharted - Golden Abyss (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Uncharted - Golden Abyss (USA)/Uncharted - Golden Abyss (USA).json
Sony PlayStation Vita || Volume (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Volume (USA)/Volume (USA).json
Sony PlayStation Vita || Xenon Valkyrie+ (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Xenon Valkyrie+ (USA)/Xenon Valkyrie+ (USA).json
Sony PlayStation Vita || Ys - Memories of Celceta (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Ys - Memories of Celceta (USA)/Ys - Memories of Celceta (USA).json
Sony PlayStation Vita || Ys Origin (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation Vita/Ys Origin (USA)/Ys Origin (USA).json
