Sony PlayStation 2 || Pac-Man World 2 (USA) (v2.00) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Pac-Man World 2 (USA) (v2.00)/Pac-Man World 2 (USA) (v2.00).json
Sony PlayStation 2 || Phase Paradox (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Phase Paradox (Japan)/Phase Paradox (Japan).json
Sony PlayStation 2 || Pinball Hall of Fame - The Gottlieb Collection (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Pinball Hall of Fame - The Gottlieb Collection (USA)/Pinball Hall of Fame - The Gottlieb Collection (USA).json
Sony PlayStation 2 || PlayStation 2 Online Start-Up Disc 4.0 (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/PlayStation 2 Online Start-Up Disc 4.0 (USA)/PlayStation 2 Online Start-Up Disc 4.0 (USA).json
Sony PlayStation 2 || PlayStation Underground Jampack - Winter 2001 (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/PlayStation Underground Jampack - Winter 2001 (USA)/PlayStation Underground Jampack - Winter 2001 (USA).json
Sony PlayStation 2 || Project - Snowblind (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Project - Snowblind (USA)/Project - Snowblind (USA).json
Sony PlayStation 2 || Psychonauts (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Psychonauts (USA)/Psychonauts (USA).json
Sony PlayStation 2 || Punisher, The (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Punisher, The (USA)/Punisher, The (USA).json
Sony PlayStation 2 || Quake III - Revolution (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Quake III - Revolution (USA)/Quake III - Revolution (USA).json
Sony PlayStation 2 || RLH - Run Like Hell (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/RLH - Run Like Hell (USA)/RLH - Run Like Hell (USA).json
Sony PlayStation 2 || RPG Maker 3 (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/RPG Maker 3 (USA)/RPG Maker 3 (USA).json
Sony PlayStation 2 || RPG Maker II (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/RPG Maker II (USA)/RPG Maker II (USA).json
Sony PlayStation 2 || Radiata Stories (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Radiata Stories (USA)/Radiata Stories (USA).json
Sony PlayStation 2 || Red Faction (USA) (v1.01) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Red Faction (USA) (v1.01)/Red Faction (USA) (v1.01).json
Sony PlayStation 2 || Red Faction II (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Red Faction II (USA)/Red Faction II (USA).json
Sony PlayStation 2 || Red Ninja - End of Honor (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Red Ninja - End of Honor (USA)/Red Ninja - End of Honor (USA).json
Sony PlayStation 2 || Resident Evil - Code - Veronica X (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Resident Evil - Code - Veronica X (USA)/Resident Evil - Code - Veronica X (USA).json
Sony PlayStation 2 || Resident Evil - Dead Aim (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Resident Evil - Dead Aim (USA)/Resident Evil - Dead Aim (USA).json
Sony PlayStation 2 || Resident Evil - Outbreak (USA) (v2.00) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Resident Evil - Outbreak (USA) (v2.00)/Resident Evil - Outbreak (USA) (v2.00).json
Sony PlayStation 2 || Resident Evil - Outbreak - File 2 (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Resident Evil - Outbreak - File 2 (USA)/Resident Evil - Outbreak - File 2 (USA).json
Sony PlayStation 2 || Resident Evil 4 (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Resident Evil 4 (USA)/Resident Evil 4 (USA).json
Sony PlayStation 2 || Rockman - Power Battle Fighters (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Rockman - Power Battle Fighters (Japan)/Rockman - Power Battle Fighters (Japan).json
Sony PlayStation 2 || Rule of Rose (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Rule of Rose (USA)/Rule of Rose (USA).json
Sony PlayStation 2 || Rygar - The Legendary Adventure (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Rygar - The Legendary Adventure (USA)/Rygar - The Legendary Adventure (USA).json
Sony PlayStation 2 || SOCOM - U.S. Navy SEALs (USA) (v3.00) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/SOCOM - U.S. Navy SEALs (USA) (v3.00)/SOCOM - U.S. Navy SEALs (USA) (v3.00).json
Sony PlayStation 2 || Sega Ages 2500 Series Vol. 1 - Phantasy Star Generation-1 (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Sega Ages 2500 Series Vol. 1 - Phantasy Star Generation-1 (Japan)/Sega Ages 2500 Series Vol. 1 - Phantasy Star Generation-1 (Japan).json
Sony PlayStation 2 || Sega Ages 2500 Series Vol. 17 - Phantasy Star Generation-2 (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Sega Ages 2500 Series Vol. 17 - Phantasy Star Generation-2 (Japan)/Sega Ages 2500 Series Vol. 17 - Phantasy Star Generation-2 (Japan).json
Sony PlayStation 2 || Sega Ages 2500 Series Vol. 25 - Gunstar Heroes - Treasure Box (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Sega Ages 2500 Series Vol. 25 - Gunstar Heroes - Treasure Box (Japan)/Sega Ages 2500 Series Vol. 25 - Gunstar Heroes - Treasure Box (Japan).json
Sony PlayStation 2 || Sega Ages 2500 Series Vol. 26 - Dynamite Deka (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Sega Ages 2500 Series Vol. 26 - Dynamite Deka (Japan)/Sega Ages 2500 Series Vol. 26 - Dynamite Deka (Japan).json
Sony PlayStation 2 || Sega Ages 2500 Series Vol. 32 - Phantasy Star Complete Collection (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Sega Ages 2500 Series Vol. 32 - Phantasy Star Complete Collection (Japan)/Sega Ages 2500 Series Vol. 32 - Phantasy Star Complete Collection (Japan).json
Sony PlayStation 2 || Sega Ages 2500 Series Vol. 33 - Fantasy Zone Complete Collection (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Sega Ages 2500 Series Vol. 33 - Fantasy Zone Complete Collection (Japan)/Sega Ages 2500 Series Vol. 33 - Fantasy Zone Complete Collection (Japan).json
Sony PlayStation 2 || Sega Ages 2500 Series Vol. 9 - Gain Ground (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Sega Ages 2500 Series Vol. 9 - Gain Ground (Japan)/Sega Ages 2500 Series Vol. 9 - Gain Ground (Japan).json
Sony PlayStation 2 || Sega Classics Collection (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Sega Classics Collection (USA)/Sega Classics Collection (USA).json
Sony PlayStation 2 || Sega Genesis Collection (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation 2/Sega Genesis Collection (USA)/Sega Genesis Collection (USA).json
