Sony PlayStation || Guardian of Darkness, The (Europe) (En,Fr,De,Es,It) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Guardian of Darkness, The (Europe) (En,Fr,De,Es,It)/Guardian of Darkness, The (Europe) (En,Fr,De,Es,It).json
Sony PlayStation || Guardian's Crusade (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Guardian's Crusade (USA)/Guardian's Crusade (USA).json
Sony PlayStation || Gubble (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Gubble (USA)/Gubble (USA).json
Sony PlayStation || Gunners Heaven (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Gunners Heaven (Japan)/Gunners Heaven (Japan).json
Sony PlayStation || Harmful Park (Japan) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Harmful Park (Japan)/Harmful Park (Japan).json
Sony PlayStation || Harry Potter and the Sorcerer's Stone (USA) (En,Fr,Es) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Harry Potter and the Sorcerer's Stone (USA) (En,Fr,Es)/Harry Potter and the Sorcerer's Stone (USA) (En,Fr,Es).json
Sony PlayStation || Harvest Moon - Back to Nature (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Harvest Moon - Back to Nature (USA)/Harvest Moon - Back to Nature (USA).json
Sony PlayStation || Hellnight (Europe) (En,Fr,De) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Hellnight (Europe) (En,Fr,De)/Hellnight (Europe) (En,Fr,De).json
Sony PlayStation || Herc's Adventures (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Herc's Adventures (USA)/Herc's Adventures (USA).json
Sony PlayStation || Hogs of War (USA) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Hogs of War (USA)/Hogs of War (USA).json
Sony PlayStation || Holiday Picks '97 (USA) (v1.1) || $ROM_JSON_ROOT/Sony/Sony PlayStation/Holiday Picks '97 (USA) (v1.1)/Holiday Picks '97 (USA) (v1.1).json
