Sega Genesis || Shadow Dancer - The Secret of Shinobi (USA, Europe) (PC Rerelease) || $ROM_JSON_ROOT/Other/Sega Genesis/Shadow Dancer - The Secret of Shinobi (USA, Europe) (PC Rerelease)/Shadow Dancer - The Secret of Shinobi (USA, Europe) (PC Rerelease).json
Sega Genesis || Shadow Dancer - The Secret of Shinobi (World) || $ROM_JSON_ROOT/Other/Sega Genesis/Shadow Dancer - The Secret of Shinobi (World)/Shadow Dancer - The Secret of Shinobi (World).json
Sega Genesis || Shadowrun (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Shadowrun (USA)/Shadowrun (USA).json
Sega Genesis || Shining Force (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Shining Force (USA)/Shining Force (USA).json
Sega Genesis || Shining Force II (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Shining Force II (USA)/Shining Force II (USA).json
Sega Genesis || Shining in the Darkness (USA, Europe) || $ROM_JSON_ROOT/Other/Sega Genesis/Shining in the Darkness (USA, Europe)/Shining in the Darkness (USA, Europe).json
Sega Genesis || Shinobi III - Return of the Ninja Master (USA) || $ROM_JSON_ROOT/Other/Sega Genesis/Shinobi III - Return of the Ninja Master (USA)/Shinobi III - Return of the Ninja Master (USA).json
Sega Genesis || Sonic & Knuckles (World) || $ROM_JSON_ROOT/Other/Sega Genesis/Sonic & Knuckles (World)/Sonic & Knuckles (World).json
Sega Genesis || Sonic & Knuckles + Sonic The Hedgehog (World) || $ROM_JSON_ROOT/Other/Sega Genesis/Sonic & Knuckles + Sonic The Hedgehog (World)/Sonic & Knuckles + Sonic The Hedgehog (World).json
Sega Genesis || Sonic & Knuckles + Sonic The Hedgehog 2 (World) || $ROM_JSON_ROOT/Other/Sega Genesis/Sonic & Knuckles + Sonic The Hedgehog 2 (World)/Sonic & Knuckles + Sonic The Hedgehog 2 (World).json
Sega Genesis || Sonic & Knuckles + Sonic The Hedgehog 3 (Japan) (En) || $ROM_JSON_ROOT/Other/Sega Genesis/Sonic & Knuckles + Sonic The Hedgehog 3 (Japan) (En)/Sonic & Knuckles + Sonic The Hedgehog 3 (Japan) (En).json
Sega Genesis || Sonic & Knuckles + Sonic The Hedgehog 3 (World) || $ROM_JSON_ROOT/Other/Sega Genesis/Sonic & Knuckles + Sonic The Hedgehog 3 (World)/Sonic & Knuckles + Sonic The Hedgehog 3 (World).json
Sega Genesis || Sonic 2 Heroes (World) (Unl) || $ROM_JSON_ROOT/Other/Sega Genesis/Sonic 2 Heroes (World) (Unl)/Sonic 2 Heroes (World) (Unl).json
